name,longitude,latitude
Matsiloje Clinic,27.885333,-21.295944
Matshelagabedi Clinic,27.65987,-21.118901
Prohealth dental centre,25.942858,-24.668392
Tati Siding Clinic,27.472868,-21.281519
smiles for miles dental practice,25.919849,-24.642688
Serule Clinic,27.301805,-21.919028
Tonota College of Education Clinic,27.463139,-21.459859
Mathangwane Clinic,27.333254,-21.00011
Area L Health Post,27.516848,-21.160699
Ditladi Health Post,27.54468,-21.46258
Shashe Station Health Post,27.447049,-21.430436
Manyanda Health Post,27.457192,-21.441092
FUN DENTAL,24.728755,-24.601508
TOTAL DENTAL CARE,,
OOK DENTAL,26.830248,-23.107809
Enchanted Smiles Dental Clinic,,
Dentwise Surgery,25.494956,-24.396554
Madisakwane Health Post,27.476102,-21.440373
Mabesekwa Health Post,,
Borolong Health Post,27.336272,-21.103575
Natale Health Post,27.22959,-21.100537
Chadibe/Tlhalogang Health Post,27.350372,-21.055141
Shashe Mooke Health Post,27.378402,-21.187754
Gojwane Health Post,27.282515,-21.780973
Makobo Health Post,,
Shashe Bridge Health Post,27.451222,-21.370591
Mogobane Clinic,25.697278,-24.985444
Siga Clinic,25.87073,-24.88541
Maun Secondary School Clinic,23.429452,-20.006094
Sehitwa Clinic,22.696972,-20.482099
Boyei Clinic,23.418265,-19.983925
Makalamabedi Clinic,23.888535,-20.318099
Boseja Clinic,,
Tsau Clinic,22.455972,-20.168611
Sedie Clinic,23.45357,-19.96191
Bothatogo Health Post,22.746627,-20.550276
Chanoga Health Post,23.657361,-20.154861
Mababe Health Post,23.996573,-19.179875
Semboyo Health Post,,
Toteng Health Post,27.279062,-20.895606
Komana Health Post,23.224698,-20.194387
Makakung Health Post,22.333611,-20.381863
Sankoyo Health Post,23.874569,-19.428187
Boseja Kubung Health Post,23.427138,-20.026645
Thitoyamokodi Health Post,23.413624,-19.998499
Disana Health Post,23.430284,-20.012015
Thamalakane Health Post,23.423715,-19.99319
Masunga Clinic,27.455639,-20.903056
Tsamaya Clinic,27.627298,-20.836751
Sekakangwe Clinic,27.318539,-20.537179
Themashanga Clinic,27.551427,-20.800412
Nlapkhwane Clinic,,
Gambule Health Post,,
Gulubane Health Post,27.308725,-20.920111
Jackalas 1 Health Post,27.700818,-20.571981
Jackalas 2 Health Post,27.680978,-20.953912
Kalakamati Health Post,,
Mbalambi Health Post,27.378139,-20.493521
Mosojane Health Post,,
Matenge Health Post,27.263409,-20.852576
Sechele Health Post,27.356117,-20.758619
Matopi Health Post,27.937443,-21.483969
Senyawe Health Post,,
Siviya Health Post,27.674392,-20.856143
Masukwane Health Post,27.549586,-20.591567
Mabudzane Health Post,27.629637,-20.910863
Zwenshambe Health Post,27.435978,-20.505573
Botalaote Toteng Health Post,27.279091,-20.895592
Letsholathebe Health Post,27.438821,-20.681983
Masingwaneng Health Post,27.321927,-20.849908
Metlobo Clinic,25.113865,-25.422297
Mmathethe Clinic,25.272306,-25.321314
Phitshane Molopo Clinic,25.100938,-25.735533
Pitsane Clinic,25.596083,-25.473139
KANYE DENTAL SERVICES,25.33475,-24.978603
Clydeview Dental Clinic,27.085196,-22.564506
LEFKARA DENTAL SPA,,
ELITE DENTAL CLINIC,27.087782,-22.534004
HOPE FEYA DENTAL CLINIC,27.105815,-22.545477
AIDEN DENTAL CARE,26.753447,-22.425011
KAGISO DENTAL CLINIC,27.091355,-22.541411
Cwaanyaneng Health Post,25.317953,-25.5343
RIVER SIDE DENTAL CARE,25.943673,-24.679186
Ditlharapa Health Post,25.341021,-25.748963
Gathwane Health Post,25.499683,-25.39131
Kanngwe Health Post,,
Kgoro Health Post,,
Leporung Health Post,24.965301,-25.757558
Mmakgori Health Post,24.801053,-25.811436
Mokatako Health Post,25.220585,-25.754781
Mokgomane Health Post,25.239166,-25.557714
Motsentshe Health Post,,
Papatlo Health Post,25.502995,-25.647065
"DR DIFELA EAR,NOSE AND THROAT",,
ENT CARE,,
NETSCAPE PTY LTD-ENT,,
BOTS DENTAL,,
ENDOCRINE AND DIABETES CARES,,
BONATLA WELLNESS SOLUTIONS,25.898363,-24.658921
Rakhuna Health Post,25.581497,-25.559976
Sedibeng Health Post,25.139201,-25.640804
Majaalela Health Post,,
Sekhutlane Health Post,24.532187,-25.606328
BOPHELONG MEDICAL CLINIC,,
SAVE LIFE MEDICAL CENTRE,,
DEEN HEALTH CENTRE,,
Tlhareseleele Health Post,,
Phihetswane Health Post,25.401399,-25.655228
Phitshane Potlokwe Health Post,25.546109,-25.550711
Sheep Farm Health Post,25.587966,-25.552972
Metlojane Health Post,25.367883,-25.532293
Lejwana Health Post,,
Mathathane Clinic,28.75,-22.268
Francistown Prisons Clinic,,
Botshelo Consultation Clinic,,
Botshelo Medical Centre,25.905222,-24.646722
Dr MALLYA,27.510028,-21.162694
Jepro Clinic,27.335195,-20.997722
Jubilee Clinic in Botswana,27.50025,-21.171139
Avicenna Gynae Clinic,25.921278,-24.642861
Sefhophe Clinic,27.970692,-22.181544
Borotsi Clinic,28.41104,-21.9616
Semolale Clinic,28.828336,-21.873448
Tsetsebjwe Clinic,28.399,-22.421444
Manga Clinic,27.751389,-21.881056
Lentswelemoriti Health Post,29.033889,-22.208611
Robelela Health Post,27.984641,-21.590077
Molalatau Health Post,28.60132,-22.06672
Moletemane Health Post,28.24219,-22.51262
Tobane Health Post,28.042134,-21.90683
Motlhabaneng Health Post,,
Borakalalo Clinic,25.49438,-24.4086
Boribamo Clinic,25.5194,-24.3801
Kopong Clinic,25.892451,-24.468589
Lephephe Clinic,25.85398,-23.357563
Molepolole Council Clinic,25.513333,-24.401389
Molepolole Prison Clinic,25.477778,-24.389167
Ikago Clinic,25.342583,-24.97775
Mmamokhasi Clinic,,
Palmes Clinic,25.343028,-24.988056
Maitengwe Clinic,27.21,-20.128889
Nata Clinic,26.180556,-20.210556
DESTINY MEDICAL CENTRE,,
Mmankgodi Clinic,25.649876,-24.726032
DR KIRIGITIS PRIVATE CLINIC,,
Phuthadikobo Clinic,25.544717,-24.377037
Sojwe Clinic,25.747034,-23.436916
DR JOHN B.AYO PRIVATE PRACTICE,,
DR H.M KHAN PRIVATE PRACTICE,25.915875,-24.665169
SARAI HOLISTIC CARE,27.52142,-21.169693
ACACIA MEDICARE CLINIC,25.915783,-24.629252
Dukwi Clinic,26.534111,-20.592028
Bridge Women's Clinic in Botswana,25.839833,-24.580222
EUCALYPTUS MEDICAL CENTRE,,
Maun General Clinic,23.415583,-20.006917
ELIM MEDICAL CENTRE,,
Makaleng Clinic,27.26475,-20.795472
HOSPITAL WAY MEDICAL CENTRE,25.91532,-24.659441
LIFE LINE MEDICAL CLINIC,25.88448,-24.618092
METRO CLINIC,,
Extension 3 Clinic in Botswana,27.124222,-22.532278
Thebephatshwa Primary Hospital,,
Letlhakeng Clinic,25.583333,-21.416667
Kanye Main Clinic,25.340583,-24.983694
Tsabong Clinic,22.407892,-25.999693
Ao Broadhurst Clinic,25.936667,-24.626944
Mmadinare Medical Centre,27.751389,-21.881056
Shekina Medical Centre,27.751389,-21.881056
Drofhcran Medical Centre,25.585861,-21.409611
Hope Medical Clinic in Botswana,25.581667,-21.412972
Karibu Medical Centre,25.585861,-21.409611
La Vista Medical Centre,25.580389,-21.403083
KALAFONG MEDICAL CENTRE,,
ST DAIMAN MEDICAL CLINIC,-6.067281,-21.405984
BAGAETSHO MEDICAL CENTRE,25.380836,-23.430214
GODWILL MEDICAL CENTRE,,
Lorato Medical Centre,,
ENELE MEDICAL CLINIC,,
EB HEALTH CARE,,
Oodi Private Health Centre,,
Bethesda Medical Centre,,
DR MANU MEDICAL CENTRE,,
MASA MEDICAL CENTRE,,
Regina mundi Medical & Surgery,,
STAR POLYHEALTH CLINIC,25.863704,-24.62156
PALAPYE MEDICAL CENTRE,27.134022,-22.555997
TUMELO MEDICARE CENTRE,,
MOHAUNG MEDICAL CENTRE,,
Tati Side Medical Centre,27.478982,-21.276127
Multi- Care Medical Cilinic,39.688372,0.26867
Life Centre Clinic,25.875486,-24.87623
Phodisong Family Private Clinic,25.857401,-24.862758
St Josephs Private Medical Clinic,,
Mmabesi Medical Centre,,
Rapha Medical Centre,25.578861,-21.413083
St Damian Medical Clinic,25.573222,-21.405972
Central Medical Centre in Botswana,27.133333,-22.55
Concord Medical Practice in Botswana,27.114722,-22.5515
Dr Clement Private Clinic,27.131111,-22.556583
Dr Hirui Medical Clinic,27.114722,-22.5515
Dr Taljaard's Clinic,27.115,-22.548806
Mudili Medical Centre,25.885389,-24.643194
Holistic Physio & Fitness Clinic,27.08725,-22.539806
Gakgaltla Health Post,25.615354,-24.544932
Gakuto Health Post,25.78797,-24.4713
Gamodubu Health Post,25.701689,-24.501795
Hatsalatladi Health Post,25.592206,-24.138327
Kgope Health Post,25.913753,-24.308815
Lesilakgokong Health Post,25.372787,-24.554161
Mahetwe Health Post,25.676535,-24.239575
Medie Health Post,,
Ditshukudu Health Post,,
Kweneng Health Post,25.956801,-23.898882
Mmanoko Health Post,,
Rungwana Health Post,,
Kgwatlheng Clinic,25.32076,-24.97638
Mahikana Clinic,25.356475,-24.995905
Spectrum Medical Imaging Services,27.114722,-22.5515
The Medics Centre in Botswana,27.089889,-22.533778
Toro Clinic in Botswana,27.081583,-22.560528
Dr Monga Clinic,26.714278,-22.403694
Bidii Medical Services,27.4615,-21.443305
Graciel Clinic,27.441167,-21.426667
Proland Medical Centre,26.177305,-20.210528
St Josephs Private Mediclinic,27.449167,-21.421639
Thembo Yetu Clinic,27.215222,-20.827611
Victoria Medical Centre in Botswana,27.343972,-21.095833
Boikhutso Complex Clinic,28.42775,-21.970667
Buta Medical Centre,26.832139,-23.107806
Neurology&Headache Specialist Centre,,
Specialist Neurosurgeon,,
Honey drive holdings,,
Dr Mayet's Surgery (Mayet M A,26.832139,-23.107806
Enele Medical Centre,25.669778,-25.227028
Flowertown Medical Centre,26.845,-23.095944
Mahalapye Physiotherapy Sports Injury Clinic,26.832111,-23.107806
Sowa Pan Clinic,26.177305,-20.562889
Tati River Medical Clinic,26.221972,-20.563806
AO Mochudi Clinic,26.164694,-24.406694
Botsogo Medical Centre,26.14775,-24.3995
Got-Mola General Medical Clinic,26.152306,-24.376778
Joubert Medeical Centre,26.14775,-24.3995
Lotlhakane East Clinic,25.458915,-25.085257
Dipotsana Health Post,,
Diabo Health Post,25.365078,-25.199356
Segwagwa Health Post,25.174285,-25.19099
Lorolwana Health Post,24.480152,-25.320997
Gasita Health Post,,
Selokolela Health Post,25.110489,-24.948897
Gantsi Clinic,21.646482,-21.70195
Liberty Medical Centre,25.748639,-25.032417
Batho Dental Clinic,27.088,-22.542722
Dami Dentomed Clinic,27.840611,-21.975445
Family Dental in Botswana,27.114695,-22.5515
Dr Moje Dental Clinic,25.877028,-24.681139
Prestige Dental Clinic,25.91575,-24.658278
New Xade Clinic,22.417359,-22.12279
Bere Health Post,,
D'Kar Health Post,,
Kacgae Health Post,,
West Hanahai Health Post,21.772876,-22.10264
Alpha Dental Services,25.923083,-24.66325
East Hanahai Health Post,,
Grootlaagte Health Post,21.211228,-21.360304
Crown Dental Clinic in Botswana,25.928917,-24.660694
J O A (Dr O De Moon in Botswana,25.923083,-24.66325
Qabo Health Post,,
Cwagare Health Post,,
Proximo (The Dental Hub,25.923083,-24.66325
Agape Dental Clinic (Dr K Mabaila,25.918778,-24.653056
BPM Oral & Dental Care Clinic,25.920583,-24.641667
Bright Smile Dental Care,25.920639,-24.654389
Dentaljoy Dental Clinic,25.914944,-24.664472
Goapele Dental Clinic,25.928278,-24.669389
Boswelakoko/Borakalalo New Clinic,25.482192,-24.39233
Joosub Dada Clinic,25.327205,-24.956786
Dilolwe Health Post,,
Moshaneng Health Post,25.236525,-24.907194
Kgatleng Medical Centre,26.147861,-24.399444
KT Health Care Centre,26.119833,-24.401444
Notwane Medical & Surgical Clinic (Mahbub G,26.152306,-24.376778
Physio-Link Clinic,26.14775,-24.3995
Ultra Care Clinic - Mochudi,26.106833,-24.406694
Acacia Healthcare Clinic,25.543417,-24.673278
Always Open Clinic (AO - Molepolole,25.525028,-24.404278
Care & Hope Medical Clinic,25.532611,-24.666389
Dr Kabongo Clinic,25.497056,-24.396583
Glory Medical Services in Botswana,25.497056,-24.396583
Medron Medical Centre,25.549278,-24.398194
The Orthodontic Centre in Boswana,25.90875,-24.654111
The Prosthodontic Centre in Botswana,25.918278,-24.667417
Bagetsho Medical Centre,24.729194,-24.598111
Council Department Clinic,25.342583,-24.97775
Dr Joosub Adaa Clinic,25.342583,-24.97775
Mabutsane Clinic,23.576111,-24.389306
Ranaka Clinic,24.714306,-24.823389
Tshokwe Clinic,27.751389,-21.881056
Highway Medical Centre in Boswana,27.4615,-21.443305
HONEY RIVER HOLDINGS,,
The Maternity Care Clinic,,
ANCORA WOMEN' S CLINIC,,
DR BARON B. MATONHODZE,,
REPRODUCTIVE HEALTH SERVICES & FAMILY HEALTH CLINIC,,
ABEBE FEMALE HEALTH CLINIC,,
Sight Care Centre,,
BROADVISION EYE CLINIC,27.531533,-21.185238
Ever Dynamic Optometrists,25.90505,-24.662333
Vision Clarity,25.925604,-24.660548
Vision Clarity,25.925606,-24.660542
S & S Opticians,25.342297,-24.981001
Moleps Private Clinic,25.573472,-24.3965
Moulick's Family Care,25.573472,-24.3965
PolyMed Clinic,25.575083,-24.395583
EYE CARE,25.863418,-24.61268
NOLVIN CHILDREN'S CLINIC,,
Zoroga Health Post,25.796228,-20.157472
THULI PHARMACY,,
Mabale Health Post,,
Living Water pharmacy,27.507165,-21.163255
CLINICARE PHARMACY,25.884706,-24.643464
KGALAGADI PHARMACY,25.915676,-24.631013
Vaalhoek Health Post,20.70893,-26.867379
MIDDLE STAR PHARMACY,25.920573,-24.641966
MODERN PHARMACY,,
T & T PHARMACY,,
VITA LIFE PHARMACY,,
SQUARE PHARMACY,25.500702,-24.408213
PHARMA ZONE,25.975657,-24.56401
RAMOTSWA PHARMACY,,
BOSELE PHARMACY,26.712383,-22.403734
ALL RIGHT PHARMACY,27.843151,-21.975291
NHABE PHARMACY,,
Khurumela Clinic,,
Gootau Health Post,27.422287,-22.726762
Majwaneng Health Post,,
Diloro Health Post,,
Moremi Health Post,27.450547,-22.57224
Gaborone Medical Centre,25.925188,-24.661508
MED-LINK,,
E&P MEDICAL CENTRE,25.358773,-24.616849
Jireh Physiotherapy Clinic,,
ACTIVE PHYSIO,,
BBT PHYSIOTHERAPY,,
POLY HEALTH SERVICES in Botswana,,
St Simon Medical Centre,25.497056,-24.396583
Universal Family Clinic in Botswana,25.497056,-24.396583
Vitality Clinic in Botswana,25.502472,-24.406972
Bookelo Medical Clinic,27.472472,-21.197444
Boro Medical Centre,27.327945,-21.105806
DELTA PHYSIOTHERAPY,25.921791,-24.652076
ENERGISE PHYSIOTHERAPY CLINIC,25.923873,-24.659277
MASA PHYSIO,25.897478,-24.605343
PHODISONG PHYSIO,,
Physiotherapy Touch Clinic,,
ULTIMATE PHYSIOTHERAPY CLINIC,,
URBAN LIFESTYLE PHYSIOTHERAPY,25.903267,-24.648
Botselo Consultation Clinic,27.509694,-21.166972
Chilani Care Clinic,27.511333,-21.168
City Medical Centre (Ladu R T,27.512195,-21.195278
Consolata Medical Centre,27.509694,-21.166972
Dati Paediatric Clinic (Dr Loeto Mazhani,27.515278,-21.168306
Goosekgweng Health Post,27.3912,-22.726266
Ditalala Clinic,27.518028,-21.17025
Mokungwana Health Post,27.283993,-22.705584
Mokokwana/Mosweu Health Post,,
Mokgware Health Post,26.796192,-22.769895
